激活帐号数,总角色数
1074,3098,


新增角色数
15,


登录角色数,登录帐号数
161,121,


等级段分布
人数,等级段
1,120,
7,115,
12,110,
9,105,
12,100,
3,95,
7,90,
8,85,
17,80,
16,75,
21,70,
23,65,
32,60,
47,55,
67,50,
94,45,
103,40,
124,35,
153,30,
151,25,
178,20,
151,15,
161,10,
188,5,
1513,0,


等级排名（前50）
角色,帐号,等级
野蛮葱花02,test003809,121,
我不是尼姑,test001006,118,
jimmy,test002217,118,
羽落添情,test001236,117,
恋月情,test001235,116,
粉色女人1,test002127,116,
紫夜星痕,test002255,116,
缘来是你,test004042,116,
蛋m蛋,test002329,114,
乱世天雄,test002051,113,
塞外苍狼,test002328,113,
天下第一无情,test004028,113,
糖炒板栗,test002190,112,
粽子来了,test001007,111,
大大肥鱼,test002169,111,
地刀,test002499,111,
精灵雪儿,test002115,110,
和砷,test002238,110,
蓝港测试01,test001289,110,
毛毛武士,test003805,110,
被卡死的猛男,test001238,108,
倾城幻舞,test002149,108,
边城浪子,test001001,107,
我心中只有你,test002380,107,
乱世佳人,test002021,106,
老谋深算,test002051,106,
贱贱的小弟,test002469,106,
潇洒一笑,test002240,105,
绝对油条,test001274,105,
很瘦很麻竿,test002206,104,
情缘ご问天,test002382,104,
谁与争鼎,test003722,103,
心粟1,test002059,101,
蓝港测试06,test003883,100,
蓝港测试08,test003885,100,
蓝港测试07,test003884,100,
蓝港测试04,test003881,100,
蓝港测试03,test003880,100,
蓝港测试09,test003886,100,
蓝港测试05,test003882,100,
蓝港测试02,test003879,100,
微风二,test002049,97,
岳鹏举,test002203,95,
叛逆→少爷,test004048,95,
测试员三,test002457,94,
说不的,test004028,94,
屠猪,test002434,94,
方☆‰略,test002247,92,
政客,test003806,92,
测试员一,test002455,90,


金钱排名（前50）
角色,帐号,金钱
鬼首,test003932,47616312,
边城浪子,test001001,26808963,
恋月情,test001235,16697338,
无情,test002306,12304939,
潼潼B,test002307,11933022,
冷刀B,test002260,11869865,
蓝港测试07,test003884,10011006,
蓝港测试09,test003886,10005579,
蓝港测试03,test003880,10003322,
蓝港测试04,test003881,10001776,
蓝港测试08,test003885,10000917,
蓝港测试06,test003883,10000396,
蓝港测试05,test003882,10000048,
蓝港测试02,test003879,10000000,
冷血B,test002305,9659854,
贱贱的小弟,test002469,8546708,
rrrr,test003683,8425465,
紫夜星痕,test002255,8399393,
迷糊B,test002304,8060719,
潇洒一笑,test002240,7847703,
方☆‰略,test002247,7385574,
圣手¤至尊,test002247,6893590,
绝对油条,test001274,6679181,
天下第一无情,test004028,6605847,
真实的神话,test002240,6092888,
粉色女人1,test002127,6086938,
☆想入非非☆,test001545,6078103,
紫隐,test002255,6043426,
七宝酱,test002072,5353166,
乱世天雄,test002051,5324165,
诸葛孔亮,test003506,5152710,
孤战天下,test001564,4915795,
百花杀,test002325,4883605,
☆紫色狐狸☆,test001545,4882110,
无聊子,test001589,4756010,
老虎凳,test001589,4452732,
浪子回头,test003694,4322835,
我不是尼姑,test001006,4262426,
BT男,test001269,4149237,
圣剑轩辕1,test003818,4117471,
测试员三,test002457,4083892,
我心中只有你,test002380,3990731,
依山寺夜嚎,test003820,3817624,
啊呀,test003928,3759755,
Bug002,test003506,3478719,
依山寺师太,test003820,3462611,
貂蝉,test003731,3418620,
ucc,test003907,3395417,
老谋深算,test002051,3364045,
塞外苍狼,test002328,3133552,
